Fonte,,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,PAM/IBGE,PAM/IBGE,PAM/IBGE,PAM/IBGE,PAM/IBGE,TerraClass,TerraClass,TerraClass,TerraClass,TerraClass
Categoria,,Algodão,Cana,Mosaico_Usos,Outras,Outras_Perenes,Outras_Temporarias,Pastagem,Silvicultura,Soja,Veg_Nativa_Campestre,Veg_Nativa_Florestal,Veg_Nativa_Savanica,Veg_Nativa_Umida,Algodão,Algodão_Arboreo,Cana,Milho,Soja,Cultura_Temporaria_Total,Pastagem_Herbacea,Silvicultura,Veg_Florestal_Primaria,Veg_Florestal_Secundaria
RGINT,Ano,,,,,,,,,,,,,,,,,,,,,,,
Barreiras,2008,113578.18356905415,41813.978229211454,401422.9923007803,148836.36457038767,4427.232546881101,815000.4397492154,987543.8613412911,5166.185683386203,731220.7295350322,451372.0312605745,350857.0206666274,7764983.350718604,196750.5325064076,292562.0,0.0,12910.0,226905.0,903400.0,0.0,220.61718722577595,0.0,49755.75538938047,2107.8733093339674
Barreiras,2009,93125.84885773076,43207.37243652374,395126.0324249642,155776.46468060266,5424.536882794146,898277.6268572271,1001885.1376112992,5971.068464404284,735648.4677802067,441049.2066745644,347453.7033387014,7693605.17397192,196422.26269656612,262165.0,0.0,8540.0,239470.0,948499.0,,,,,
Barreiras,2010,80421.63103982703,42867.66805512712,363867.3271424859,153593.57006338748,5117.315441174268,848007.0566112705,1010159.8455372043,6995.9733947570885,886095.8608795891,434505.25346770365,345926.3794763317,7637531.816622978,197883.20494646375,245561.0,0.0,8730.0,222110.0,1014950.0,0.0,119.75902728926395,0.0,49716.55842336215,2583.5869611921594
Barreiras,2011,104343.41606488924,42604.41089572157,360983.1315738203,154721.36670360132,4053.505996337848,812096.5932125584,1012608.784511962,8275.563630993636,989462.4369214526,427298.13502450765,342241.3724428648,7557537.571638737,196746.61406000084,369745.0,0.0,8018.0,206376.0,1043200.0,,,,,
Barreiras,2012,84409.31876758212,41825.63098191547,366650.2047376509,155177.7294968509,1862.6376608337448,1008113.4086134977,1031600.9754547797,9396.786207470679,940957.4492907937,417229.03995748627,338510.6703043879,7419885.005818126,197354.04538687022,382926.0,0.0,10517.0,255367.0,1110157.0,0.0,444.8378855400479,0.0,49688.493194940325,3390.221375071344
Barreiras,2013,37524.860656581004,41516.30090653697,364042.2800228869,159125.00579116258,1978.9655661926295,1154751.9908763715,1084746.539740277,11313.260426074154,933361.8709367125,407862.38695008884,334465.5633916544,7284761.709416232,197522.1679964816,252908.0,0.0,15735.0,241110.0,1209267.0,,,,,
Barreiras,2014,67677.32187407355,38817.01526215225,337124.6203450481,161648.14547675295,1248.6550027587882,1090607.7807181724,1137946.9525928495,12050.642326702793,1046004.7237758908,403297.1427340208,329280.02774253296,7188728.278218357,198541.5966080061,323194.0,0.0,14290.0,332158.0,1274369.0,0.0,569.4450907004639,0.0,49628.0565925341,3203.922863086704
Barreiras,2015,78466.1971703587,38679.15007228364,297061.7600901413,161262.12068673238,1153.4153101989755,1037468.3773589834,1179404.8926683625,12469.499721575836,1141540.8690948328,401753.379072351,325693.00342828775,7138763.384161212,199256.85384193182,318061.0,0.0,12655.0,273891.0,1437663.0,,,,,
Barreiras,2016,35279.209722655585,36672.937513811994,288302.77621219424,164676.3525595418,1025.6273632629402,863342.9611759642,1199750.8673551905,12447.299075305082,1386415.3706151359,399663.296630163,323613.49597037036,7104414.502695587,197368.20578807467,270384.0,0.0,13774.0,195287.0,1534228.0,0.0,3619.3705523395192,0.0,49684.75919459235,3252.525093422352
Barreiras,2017,92937.1796558061,34583.0820006469,285926.1850525434,160068.74689838436,859.4063253173829,694685.2542547302,1201159.7285930242,12437.320957348547,1539907.1418129532,398050.57279224874,323206.02420622914,7072126.812777049,197025.44735093956,190180.0,0.0,4009.0,259664.0,1581856.0,,,,,
Barreiras,2018,93611.5886323486,35228.22960025026,298293.0779855152,155114.69753634246,1095.6512382995602,768493.9453377033,1204223.2310694747,10568.446347662295,1486414.4798792943,396285.21880898473,322643.438529257,7042248.6794886645,198752.21822427984,259497.0,0.0,3070.0,260049.0,1601358.0,766179.6418135426,4023.345224394143,1047.547699770528,49406.17466325498,3865.382956985615
Barreiras,2019,64885.61339062509,35800.766792309296,375925.6499266091,153761.55666057955,4200.623109356693,800016.9462792523,1206089.8897534483,10260.760793304384,1496277.6457352815,391838.73745206796,321512.2659094579,6953664.4649357,198737.98193999013,318978.0,0.0,2985.0,249419.0,1580102.0,,,,,
Barreiras,2020,153855.12906344648,36739.34858136567,487899.47526358993,151247.62084362403,19058.241878332592,691320.6078958395,1197168.487580873,10075.700881909122,1542546.3917541222,386540.3521640787,319471.6847453163,6818681.961069541,198367.9009552738,303537.0,0.0,2824.0,204948.0,1617150.0,787441.3007733915,5036.815152171791,741.068579812176,49362.35034734308,3632.680456805664
Barreiras,2021,148165.39122434924,37079.09090488248,621190.8950355262,150067.74939730458,19060.84063466193,742937.7367339598,1195845.5656863046,10102.86397418819,1503468.5758346834,378290.2560055408,315677.7192762776,6692975.623733775,198110.5942357979,266025.0,0.0,2855.0,211732.0,1693885.0,,,,,
Barreiras,2022,180596.18012046567,37825.751730658216,789730.3251667893,150278.96344073286,17758.768303344776,557387.9731378402,1204780.386445324,10033.357694580038,1687115.646363804,368890.9215226542,312471.44328760676,6500560.77008141,195542.41538206578,293915.0,0.0,2959.0,221810.0,1768221.0,846445.0206966241,5617.020587961023,1288.7119265454721,49349.40179774932,3542.422039792415
Barreiras,2023,184357.4960771873,37106.457448315356,987642.6157609627,156149.33339436044,17760.31408758549,552463.1884406585,1203628.4752997893,10024.462216253622,1716426.5028842015,354265.274268163,310415.910470732,6289436.017710242,193296.85461889798,302339.0,0.0,3040.0,215753.0,1916042.0,,,,,
Barreiras,2024,133487.09704072005,35684.56489426269,1110080.5784773373,149468.49624854737,17014.588043743915,497972.0823164249,1204869.589687329,9974.447997167923,1826154.927736905,349712.87402548676,305741.937280033,6179637.4408589415,193174.2780711256,327915.0,0.0,2844.0,177300.0,1960883.0,878466.2016591426,,1202.40833785776,,
Santarém,2008,,63.12209913940442,10337.696481250117,3118032.1599639575,1.155746917724609,56041.67194777203,1923607.284361327,81.0365375732422,13553.27384391487,500882.8915633414,37541821.049639255,410854.942007046,403736.1012768618,0.0,0.0,513.0,74029.0,33480.0,28349.47417949539,1177865.8376351835,0.05018817672,36723399.74124616,1135461.6764846547
Santarém,2009,,63.21100319824231,10658.997440087942,3160613.559629577,1.155746917724609,61135.31200253922,1975445.5159514975,81.03654227905274,13088.549592602565,501725.66180275695,37482952.27043788,410776.25792555825,362470.85739334463,0.0,0.0,498.0,76962.0,29300.0,,,,,
Santarém,2010,,62.76647920532239,10680.962307397722,3079468.149193535,0.9779395935058592,71210.86573407776,1966831.6738933409,80.76852509155273,15674.05191915287,502591.8253610401,37475684.70164697,410711.59344193403,446014.0490268502,0.0,0.0,347.0,48695.0,28650.0,33303.599291703315,1017136.2644257621,0.0,36582794.38223467,1341112.1973425827
Santarém,2011,,63.83332240600595,10600.596463226813,3100762.627824199,1.066843121337891,78466.43900218107,1974418.3308886,81.03659755859374,12376.002540503,502574.97862086055,37465989.96205133,410635.1350681242,423042.37624606345,0.0,0.0,317.0,49072.0,30000.0,,,,,
Santarém,2012,,64.01112265014658,9983.250016907012,3156355.6103629293,0.9779395446777344,80745.34113025095,1995088.3819310209,80.94725377197265,9100.43631118166,502082.2996856798,37442883.53457336,410509.0144319611,372118.58070884994,0.0,0.0,356.0,46175.0,31000.0,41733.416243936736,1124890.2095801546,3594.186125261424,36487831.62666475,1485564.9418308805
Santarém,2013,,66.23390538330086,9590.030911047743,3144710.687222807,0.0,83324.56844412952,2041134.8817918263,80.85790998535157,12766.39611838992,500358.59542634117,37388169.37036463,410460.6365537635,388350.1268196934,0.0,0.0,328.0,59097.0,32081.0,,,,,
Santarém,2014,,69.52336378173828,9048.43189982933,3147769.28817962,0.0,99782.76976698116,2094302.7175732395,81.03661016845705,17437.138310198978,500004.0572801009,37310753.778309464,410514.8834185156,389248.760756051,0.0,0.0,302.0,58468.0,42282.0,54919.707230819375,1358468.915024555,0.2810537896319999,36372903.121046074,1325232.3570993145
Santarém,2015,,70.85701431274416,8591.019127459833,3173638.3976351875,0.0,93395.55169089398,2158690.520030091,81.30469183959961,35130.89700567641,501618.60792147653,37230599.255078405,410823.50107082224,366372.47420164023,0.0,0.0,255.0,54977.0,43912.0,,,,,
Santarém,2016,,71.47933302612303,8081.148347174083,3075364.7728567547,0.0,91287.05069849483,2253670.7603467805,81.84089270629883,44507.56565908833,504918.4262032758,37123266.1208631,410760.47973112436,467002.740536161,0.0,0.0,220.0,54410.0,59302.0,72901.09707315495,1562636.576013114,553.7161161164161,36238678.63663459,1525490.610062269
Santarém,2017,,72.0127543579101,7292.02173394182,3132991.9896180895,0.0,88281.39435961856,2288428.3734573843,81.84090036010743,53638.63811637011,503956.4783130663,37074379.796901,410673.22327224375,419216.61604117544,0.0,0.0,215.0,68656.0,73197.0,,,,,
Santarém,2018,,72.81288197631827,7254.859107812629,3124380.067853489,0.0,85129.29062960221,2344943.4563857308,81.93024432983397,53137.048356708474,503609.43333679065,37015386.24900196,410305.0779995393,434712.1596696755,0.0,0.0,199.0,46663.0,62527.0,78232.79787646276,1581105.8350837096,0.0,36092263.604699984,1554839.963211286
Santarém,2019,,69.16782575683604,7053.117825512841,3153710.5115267267,0.0,81664.10352930271,2467850.331165004,87.82798649291992,54678.10187179687,504739.7332223371,36882793.50040877,409736.67770700407,416629.312398839,0.0,0.0,194.0,53845.0,65561.0,,,,,
Santarém,2020,,70.85712424316415,6785.057257641691,3148384.0917812125,0.0,87165.23460952347,2585404.7544770236,129.19956382446276,54506.52711867769,506069.4383980334,36727705.32031067,409613.3373947231,453178.56743174343,0.0,0.0,181.0,52549.0,91080.0,102335.15782684022,1622800.0242487218,0.0,35842436.04542416,1520230.8590291068
Santarém,2021,,97.44114011840826,6739.535244171287,3213532.934203687,0.0,36284.58904287117,2742265.989534911,129.55695437011707,110991.77306851426,514891.16745326394,36535148.49856637,409787.05522069975,409143.84503823594,0.0,0.0,171.0,110422.0,122580.0,,,,,
Santarém,2022,,119.7572638061526,6755.711458337501,3288531.938625524,0.0,36528.233223303294,2897215.9168346194,129.55695437011707,111753.27155816228,510686.91617459076,36375794.8867585,409932.7516279213,341563.44498791115,0.0,0.0,154.0,122702.0,133820.0,138859.45287029006,1832839.8725533218,441.38493898171197,35518776.98057989,1706757.114922067
Santarém,2023,,124.02459655151358,7000.375870135558,3177304.4257051004,0.0,35931.32890730599,3011505.8961621155,129.55695437011707,112506.51747621028,504722.4014283748,36265198.65215832,409810.9806688348,454778.2255396298,0.0,0.0,154.0,124449.0,142652.0,,,,,
Santarém,2024,,125.35819409790028,7108.498182183911,3176251.7550266674,0.0,35796.48437673347,3111847.713544061,129.46761040039053,112596.68114788934,500018.14261394535,36168601.25428116,408518.1732342649,458018.85725554294,0.0,0.0,168.0,81103.0,154692.0,,,,,
