ano,uf,cultura,conab_ha
2008,AC,Soja (em grão),0.0
2008,AL,Soja (em grão),0.0
2008,AM,Soja (em grão),0.0
2008,AP,Soja (em grão),0.0
2008,BA,Soja (em grão),905000.0
2008,BA,Soja (em grão),905000.0
2008,CE,Soja (em grão),0.0
2008,DF,Soja (em grão),48700.0
2008,DF,Soja (em grão),49000.0
2008,ES,Soja (em grão),0.0
2008,GO,Soja (em grão),2179700.0
2008,GO,Soja (em grão),2180000.0
2008,MA,Soja (em grão),422000.0
2008,MA,Soja (em grão),421500.0
2008,MG,Soja (em grão),870000.0
2008,MG,Soja (em grão),870000.0
2008,MS,Soja (em grão),1731000.0
2008,MS,Soja (em grão),1731400.0
2008,MT,Soja (em grão),5675000.0
2008,MT,Soja (em grão),5675000.0
2008,PA,Soja (em grão),71000.0
2008,PA,Soja (em grão),71100.0
2008,PB,Soja (em grão),0.0
2008,PE,Soja (em grão),0.0
2008,PI,Soja (em grão),253600.0
2008,PI,Soja (em grão),254000.0
2008,PR,Soja (em grão),3977000.0
2008,PR,Soja (em grão),3977300.0
2008,RJ,Soja (em grão),0.0
2008,RN,Soja (em grão),0.0
2008,RO,Soja (em grão),99800.0
2008,RO,Soja (em grão),100000.0
2008,RR,Soja (em grão),15000.0
2008,RR,Soja (em grão),15000.0
2008,RS,Soja (em grão),3834000.0
2008,RS,Soja (em grão),3834000.0
2008,SC,Soja (em grão),373000.0
2008,SC,Soja (em grão),373400.0
2008,SE,Soja (em grão),0.0
2008,SP,Soja (em grão),526000.0
2008,SP,Soja (em grão),526000.0
2008,TO,Soja (em grão),332000.0
2008,TO,Soja (em grão),331600.0
2009,AC,Soja (em grão),0.0
2009,AL,Soja (em grão),0.0
2009,AM,Soja (em grão),0.0
2009,AP,Soja (em grão),0.0
2009,BA,Soja (em grão),947500.0
2009,BA,Soja (em grão),948000.0
2009,CE,Soja (em grão),0.0
2009,DF,Soja (em grão),48900.0
2009,DF,Soja (em grão),49000.0
2009,ES,Soja (em grão),0.0
2009,GO,Soja (em grão),2307200.0
2009,GO,Soja (em grão),2307000.0
2009,MA,Soja (em grão),387000.0
2009,MA,Soja (em grão),387400.0
2009,MG,Soja (em grão),929100.0
2009,MG,Soja (em grão),929000.0
2009,MS,Soja (em grão),1716000.0
2009,MS,Soja (em grão),1715800.0
2009,MT,Soja (em grão),5828200.0
2009,MT,Soja (em grão),5828000.0
2009,PA,Soja (em grão),72000.0
2009,PA,Soja (em grão),72200.0
2009,PB,Soja (em grão),0.0
2009,PE,Soja (em grão),0.0
2009,PI,Soja (em grão),273100.0
2009,PI,Soja (em grão),273000.0
2009,PR,Soja (em grão),4069000.0
2009,PR,Soja (em grão),4069200.0
2009,RJ,Soja (em grão),0.0
2009,RN,Soja (em grão),0.0
2009,RO,Soja (em grão),106000.0
2009,RO,Soja (em grão),106000.0
2009,RR,Soja (em grão),8000.0
2009,RR,Soja (em grão),8000.0
2009,RS,Soja (em grão),3822500.0
2009,RS,Soja (em grão),3822000.0
2009,SC,Soja (em grão),385000.0
2009,SC,Soja (em grão),385300.0
2009,SE,Soja (em grão),0.0
2009,SP,Soja (em grão),531300.0
2009,SP,Soja (em grão),531000.0
2009,TO,Soja (em grão),311000.0
2009,TO,Soja (em grão),311400.0
2010,AC,Soja (em grão),0.0
2010,AL,Soja (em grão),0.0
2010,AM,Soja (em grão),0.0
2010,AP,Soja (em grão),0.0
2010,BA,Soja (em grão),1016500.0
2010,BA,Soja (em grão),1016000.0
2010,CE,Soja (em grão),0.0
2010,DF,Soja (em grão),53000.0
2010,DF,Soja (em grão),53000.0
2010,ES,Soja (em grão),0.0
2010,GO,Soja (em grão),2549500.0
2010,GO,Soja (em grão),2550000.0
2010,MA,Soja (em grão),502000.0
2010,MA,Soja (em grão),502100.0
2010,MG,Soja (em grão),1019000.0
2010,MG,Soja (em grão),1019000.0
2010,MS,Soja (em grão),1712000.0
2010,MS,Soja (em grão),1712200.0
2010,MT,Soja (em grão),6224500.0
2010,MT,Soja (em grão),6224000.0
2010,PA,Soja (em grão),87000.0
2010,PA,Soja (em grão),86900.0
2010,PB,Soja (em grão),0.0
2010,PE,Soja (em grão),0.0
2010,PI,Soja (em grão),343100.0
2010,PI,Soja (em grão),343000.0
2010,PR,Soja (em grão),4485000.0
2010,PR,Soja (em grão),4485100.0
2010,RJ,Soja (em grão),0.0
2010,RN,Soja (em grão),0.0
2010,RO,Soja (em grão),122300.0
2010,RO,Soja (em grão),122000.0
2010,RR,Soja (em grão),1000.0
2010,RR,Soja (em grão),1400.0
2010,RS,Soja (em grão),3976200.0
2010,RS,Soja (em grão),3976000.0
2010,SC,Soja (em grão),440000.0
2010,SC,Soja (em grão),439600.0
2010,SE,Soja (em grão),0.0
2010,SP,Soja (em grão),572200.0
2010,SP,Soja (em grão),572000.0
2010,TO,Soja (em grão),364000.0
2010,TO,Soja (em grão),364300.0
2011,AC,Soja (em grão),0.0
2011,AL,Soja (em grão),0.0
2011,AM,Soja (em grão),0.0
2011,AP,Soja (em grão),0.0
2011,BA,Soja (em grão),1043900.0000000001
2011,BA,Soja (em grão),1044000.0
2011,CE,Soja (em grão),0.0
2011,DF,Soja (em grão),54900.0
2011,DF,Soja (em grão),55000.0
2011,ES,Soja (em grão),0.0
2011,GO,Soja (em grão),2605600.0
2011,GO,Soja (em grão),2606000.0
2011,MA,Soja (em grão),518000.0
2011,MA,Soja (em grão),518200.00000000006
2011,MG,Soja (em grão),1024099.9999999999
2011,MG,Soja (em grão),1024000.0
2011,MS,Soja (em grão),1760000.0
2011,MS,Soja (em grão),1760100.0
2011,MT,Soja (em grão),6398800.0
2011,MT,Soja (em grão),6399000.0
2011,PA,Soja (em grão),105000.0
2011,PA,Soja (em grão),104800.0
2011,PB,Soja (em grão),0.0
2011,PE,Soja (em grão),0.0
2011,PI,Soja (em grão),383600.0
2011,PI,Soja (em grão),384000.0
2011,PR,Soja (em grão),4590000.0
2011,PR,Soja (em grão),4590500.0
2011,RJ,Soja (em grão),0.0
2011,RN,Soja (em grão),0.0
2011,RO,Soja (em grão),132300.0
2011,RO,Soja (em grão),132000.0
2011,RR,Soja (em grão),4000.0
2011,RR,Soja (em grão),3700.0
2011,RS,Soja (em grão),4084800.0
2011,RS,Soja (em grão),4085000.0
2011,SC,Soja (em grão),458000.0
2011,SC,Soja (em grão),458200.0
2011,SE,Soja (em grão),0.0
2011,SP,Soja (em grão),612800.0
2011,SP,Soja (em grão),613000.0
2011,TO,Soja (em grão),405000.0
2011,TO,Soja (em grão),404700.0
2012,AC,Soja (em grão),0.0
2012,AL,Soja (em grão),0.0
2012,AM,Soja (em grão),0.0
2012,AP,Soja (em grão),0.0
2012,BA,Soja (em grão),1112800.0
2012,BA,Soja (em grão),1113000.0
2012,CE,Soja (em grão),0.0
2012,DF,Soja (em grão),55000.0
2012,DF,Soja (em grão),55000.0
2012,ES,Soja (em grão),0.0
2012,GO,Soja (em grão),2644700.0
2012,GO,Soja (em grão),2645000.0
2012,MA,Soja (em grão),560000.0
2012,MA,Soja (em grão),559700.0
2012,MG,Soja (em grão),1024000.0
2012,MG,Soja (em grão),1024000.0
2012,MS,Soja (em grão),1815000.0
2012,MS,Soja (em grão),1815000.0
2012,MT,Soja (em grão),6980500.0
2012,MT,Soja (em grão),6980000.0
2012,PA,Soja (em grão),119000.0
2012,PA,Soja (em grão),119200.0
2012,PB,Soja (em grão),0.0
2012,PE,Soja (em grão),0.0
2012,PI,Soja (em grão),444600.0
2012,PI,Soja (em grão),445000.0
2012,PR,Soja (em grão),4461000.0
2012,PR,Soja (em grão),4460600.0
2012,RJ,Soja (em grão),0.0
2012,RN,Soja (em grão),0.0
2012,RO,Soja (em grão),143500.0
2012,RO,Soja (em grão),144000.0
2012,RR,Soja (em grão),4000.0
2012,RR,Soja (em grão),3700.0
2012,RS,Soja (em grão),4197200.0
2012,RS,Soja (em grão),4197000.0
2012,SC,Soja (em grão),448000.0
2012,SC,Soja (em grão),448300.0
2012,SE,Soja (em grão),0.0
2012,SP,Soja (em grão),582200.0
2012,SP,Soja (em grão),582000.0
2012,TO,Soja (em grão),451000.0
2012,TO,Soja (em grão),451200.0
2013,AC,Soja (em grão),0.0
2013,AL,Soja (em grão),0.0
2013,AM,Soja (em grão),0.0
2013,AP,Soja (em grão),0.0
2013,BA,Soja (em grão),1281900.0
2013,BA,Soja (em grão),1282000.0
2013,CE,Soja (em grão),0.0
2013,DF,Soja (em grão),55000.0
2013,DF,Soja (em grão),55000.0
2013,ES,Soja (em grão),0.0
2013,GO,Soja (em grão),2888000.0
2013,GO,Soja (em grão),2888000.0
2013,MA,Soja (em grão),586000.0
2013,MA,Soja (em grão),586000.0
2013,MG,Soja (em grão),1121200.0
2013,MG,Soja (em grão),1121000.0
2013,MS,Soja (em grão),2017000.0
2013,MS,Soja (em grão),2017000.0
