CD_RGINT,NM_RGINT,SIGLA_UF,ano,cultura,area_ha
1101,Porto Velho,RO,2008,algodao_arboreo,0
1101,Porto Velho,RO,2008,algodao_herbaceo,0
1101,Porto Velho,RO,2008,cana,153
1101,Porto Velho,RO,2008,milho,28640
1101,Porto Velho,RO,2008,soja,400
1101,Porto Velho,RO,2009,algodao_arboreo,0
1101,Porto Velho,RO,2009,algodao_herbaceo,0
1101,Porto Velho,RO,2009,cana,177
1101,Porto Velho,RO,2009,milho,30844
1101,Porto Velho,RO,2009,soja,720
1101,Porto Velho,RO,2010,algodao_arboreo,0
1101,Porto Velho,RO,2010,algodao_herbaceo,0
1101,Porto Velho,RO,2010,cana,73
1101,Porto Velho,RO,2010,milho,32028
1101,Porto Velho,RO,2010,soja,1805
1101,Porto Velho,RO,2011,algodao_arboreo,0
1101,Porto Velho,RO,2011,algodao_herbaceo,0
1101,Porto Velho,RO,2011,cana,94
1101,Porto Velho,RO,2011,milho,29569
1101,Porto Velho,RO,2011,soja,2055
1101,Porto Velho,RO,2012,algodao_arboreo,0
1101,Porto Velho,RO,2012,algodao_herbaceo,0
1101,Porto Velho,RO,2012,cana,0
1101,Porto Velho,RO,2012,milho,18964
1101,Porto Velho,RO,2012,soja,4802
1101,Porto Velho,RO,2013,algodao_arboreo,0
1101,Porto Velho,RO,2013,algodao_herbaceo,0
1101,Porto Velho,RO,2013,cana,148
1101,Porto Velho,RO,2013,milho,15737
1101,Porto Velho,RO,2013,soja,5152
1101,Porto Velho,RO,2014,algodao_arboreo,0
1101,Porto Velho,RO,2014,algodao_herbaceo,0
1101,Porto Velho,RO,2014,cana,331
1101,Porto Velho,RO,2014,milho,15361
1101,Porto Velho,RO,2014,soja,12616
1101,Porto Velho,RO,2015,algodao_arboreo,0
1101,Porto Velho,RO,2015,algodao_herbaceo,0
1101,Porto Velho,RO,2015,cana,492
1101,Porto Velho,RO,2015,milho,20147
1101,Porto Velho,RO,2015,soja,25717
1101,Porto Velho,RO,2016,algodao_arboreo,0
1101,Porto Velho,RO,2016,algodao_herbaceo,0
1101,Porto Velho,RO,2016,cana,411
1101,Porto Velho,RO,2016,milho,17883
1101,Porto Velho,RO,2016,soja,33176
1101,Porto Velho,RO,2017,algodao_arboreo,0
1101,Porto Velho,RO,2017,algodao_herbaceo,0
1101,Porto Velho,RO,2017,cana,249
1101,Porto Velho,RO,2017,milho,24149
1101,Porto Velho,RO,2017,soja,50501
1101,Porto Velho,RO,2018,algodao_arboreo,0
1101,Porto Velho,RO,2018,algodao_herbaceo,0
1101,Porto Velho,RO,2018,cana,231
1101,Porto Velho,RO,2018,milho,22459
1101,Porto Velho,RO,2018,soja,64603
1101,Porto Velho,RO,2019,algodao_arboreo,0
1101,Porto Velho,RO,2019,algodao_herbaceo,0
1101,Porto Velho,RO,2019,cana,326
1101,Porto Velho,RO,2019,milho,35243
1101,Porto Velho,RO,2019,soja,100536
1101,Porto Velho,RO,2020,algodao_arboreo,0
1101,Porto Velho,RO,2020,algodao_herbaceo,0
1101,Porto Velho,RO,2020,cana,253
1101,Porto Velho,RO,2020,milho,36879
1101,Porto Velho,RO,2020,soja,131216
1101,Porto Velho,RO,2021,algodao_arboreo,0
1101,Porto Velho,RO,2021,algodao_herbaceo,0
1101,Porto Velho,RO,2021,cana,322
1101,Porto Velho,RO,2021,milho,45587
1101,Porto Velho,RO,2021,soja,110830
1101,Porto Velho,RO,2022,algodao_arboreo,0
1101,Porto Velho,RO,2022,algodao_herbaceo,0
1101,Porto Velho,RO,2022,cana,257
1101,Porto Velho,RO,2022,milho,76397
1101,Porto Velho,RO,2022,soja,177076
1101,Porto Velho,RO,2023,algodao_arboreo,0
1101,Porto Velho,RO,2023,algodao_herbaceo,0
1101,Porto Velho,RO,2023,cana,300
1101,Porto Velho,RO,2023,milho,73695
1101,Porto Velho,RO,2023,soja,251518
1101,Porto Velho,RO,2024,algodao_arboreo,0
1101,Porto Velho,RO,2024,algodao_herbaceo,0
1101,Porto Velho,RO,2024,cana,301
1101,Porto Velho,RO,2024,milho,106742
1101,Porto Velho,RO,2024,soja,254751
1102,Ji-Paraná,RO,2008,algodao_arboreo,0
1102,Ji-Paraná,RO,2008,algodao_herbaceo,0
1102,Ji-Paraná,RO,2008,cana,3051
1102,Ji-Paraná,RO,2008,milho,107205
1102,Ji-Paraná,RO,2008,soja,98806
1102,Ji-Paraná,RO,2009,algodao_arboreo,0
1102,Ji-Paraná,RO,2009,algodao_herbaceo,0
1102,Ji-Paraná,RO,2009,cana,4043
1102,Ji-Paraná,RO,2009,milho,122847
1102,Ji-Paraná,RO,2009,soja,110706
1102,Ji-Paraná,RO,2010,algodao_arboreo,0
1102,Ji-Paraná,RO,2010,algodao_herbaceo,0
1102,Ji-Paraná,RO,2010,cana,3751
1102,Ji-Paraná,RO,2010,milho,137041
1102,Ji-Paraná,RO,2010,soja,120938
1102,Ji-Paraná,RO,2011,algodao_arboreo,0
1102,Ji-Paraná,RO,2011,algodao_herbaceo,0
1102,Ji-Paraná,RO,2011,cana,3673
1102,Ji-Paraná,RO,2011,milho,130799
1102,Ji-Paraná,RO,2011,soja,130245
1102,Ji-Paraná,RO,2012,algodao_arboreo,0
1102,Ji-Paraná,RO,2012,algodao_herbaceo,0
1102,Ji-Paraná,RO,2012,cana,3799
1102,Ji-Paraná,RO,2012,milho,142072
1102,Ji-Paraná,RO,2012,soja,141342
1102,Ji-Paraná,RO,2013,algodao_arboreo,0
1102,Ji-Paraná,RO,2013,algodao_herbaceo,0
1102,Ji-Paraná,RO,2013,cana,4796
1102,Ji-Paraná,RO,2013,milho,132395
1102,Ji-Paraná,RO,2013,soja,174734
1102,Ji-Paraná,RO,2014,algodao_arboreo,0
1102,Ji-Paraná,RO,2014,algodao_herbaceo,0
1102,Ji-Paraná,RO,2014,cana,4535
1102,Ji-Paraná,RO,2014,milho,138852
1102,Ji-Paraná,RO,2014,soja,182564
1102,Ji-Paraná,RO,2015,algodao_arboreo,0
1102,Ji-Paraná,RO,2015,algodao_herbaceo,0
1102,Ji-Paraná,RO,2015,cana,1901
1102,Ji-Paraná,RO,2015,milho,155805
1102,Ji-Paraná,RO,2015,soja,207888
1102,Ji-Paraná,RO,2016,algodao_arboreo,0
1102,Ji-Paraná,RO,2016,algodao_herbaceo,350
1102,Ji-Paraná,RO,2016,cana,4554
1102,Ji-Paraná,RO,2016,milho,148935
1102,Ji-Paraná,RO,2016,soja,212995
1102,Ji-Paraná,RO,2017,algodao_arboreo,0
1102,Ji-Paraná,RO,2017,algodao_herbaceo,0
1102,Ji-Paraná,RO,2017,cana,3537
1102,Ji-Paraná,RO,2017,milho,191567
1102,Ji-Paraná,RO,2017,soja,229602
1102,Ji-Paraná,RO,2018,algodao_arboreo,0
1102,Ji-Paraná,RO,2018,algodao_herbaceo,0
1102,Ji-Paraná,RO,2018,cana,1676
1102,Ji-Paraná,RO,2018,milho,162954
1102,Ji-Paraná,RO,2018,soja,236213
1102,Ji-Paraná,RO,2019,algodao_arboreo,0
1102,Ji-Paraná,RO,2019,algodao_herbaceo,0
1102,Ji-Paraná,RO,2019,cana,2191
1102,Ji-Paraná,RO,2019,milho,190129
1102,Ji-Paraná,RO,2019,soja,244015
1102,Ji-Paraná,RO,2020,algodao_arboreo,0
1102,Ji-Paraná,RO,2020,algodao_herbaceo,0
1102,Ji-Paraná,RO,2020,cana,501
1102,Ji-Paraná,RO,2020,milho,209730
1102,Ji-Paraná,RO,2020,soja,261426
1102,Ji-Paraná,RO,2021,algodao_arboreo,0
1102,Ji-Paraná,RO,2021,algodao_herbaceo,0
1102,Ji-Paraná,RO,2021,cana,396
1102,Ji-Paraná,RO,2021,milho,250393
1102,Ji-Paraná,RO,2021,soja,289629
1102,Ji-Paraná,RO,2022,algodao_arboreo,0
1102,Ji-Paraná,RO,2022,algodao_herbaceo,10050
1102,Ji-Paraná,RO,2022,cana,245
1102,Ji-Paraná,RO,2022,milho,245840
1102,Ji-Paraná,RO,2022,soja,312450
1102,Ji-Paraná,RO,2023,algodao_arboreo,0
1102,Ji-Paraná,RO,2023,algodao_herbaceo,10687
1102,Ji-Paraná,RO,2023,cana,332
1102,Ji-Paraná,RO,2023,milho,282857
1102,Ji-Paraná,RO,2023,soja,338465
1102,Ji-Paraná,RO,2024,algodao_arboreo,0
1102,Ji-Paraná,RO,2024,algodao_herbaceo,9862
1102,Ji-Paraná,RO,2024,cana,290
1102,Ji-Paraná,RO,2024,milho,242953
1102,Ji-Paraná,RO,2024,soja,388888
1201,Rio Branco,AC,2008,algodao_arboreo,0
1201,Rio Branco,AC,2008,algodao_herbaceo,0
1201,Rio Branco,AC,2008,cana,2407
1201,Rio Branco,AC,2008,milho,20240
1201,Rio Branco,AC,2008,soja,50
1201,Rio Branco,AC,2009,algodao_arboreo,0
1201,Rio Branco,AC,2009,algodao_herbaceo,0
1201,Rio Branco,AC,2009,cana,2270
1201,Rio Branco,AC,2009,milho,17658
1201,Rio Branco,AC,2009,soja,50
1201,Rio Branco,AC,2010,algodao_arboreo,0
1201,Rio Branco,AC,2010,algodao_herbaceo,0
1201,Rio Branco,AC,2010,cana,2263
1201,Rio Branco,AC,2010,milho,27174
1201,Rio Branco,AC,2010,soja,100
1201,Rio Branco,AC,2011,algodao_arboreo,0
1201,Rio Branco,AC,2011,algodao_herbaceo,0
1201,Rio Branco,AC,2011,cana,2267
1201,Rio Branco,AC,2011,milho,25486
1201,Rio Branco,AC,2011,soja,85
1201,Rio Branco,AC,2012,algodao_arboreo,0
1201,Rio Branco,AC,2012,algodao_herbaceo,0
1201,Rio Branco,AC,2012,cana,2724
1201,Rio Branco,AC,2012,milho,30488
1201,Rio Branco,AC,2012,soja,0
1201,Rio Branco,AC,2013,algodao_arboreo,0
1201,Rio Branco,AC,2013,algodao_herbaceo,0
1201,Rio Branco,AC,2013,cana,2461
1201,Rio Branco,AC,2013,milho,33592
1201,Rio Branco,AC,2013,soja,60
1201,Rio Branco,AC,2014,algodao_arboreo,0
1201,Rio Branco,AC,2014,algodao_herbaceo,0
1201,Rio Branco,AC,2014,cana,3211
1201,Rio Branco,AC,2014,milho,35453
1201,Rio Branco,AC,2014,soja,400
1201,Rio Branco,AC,2015,algodao_arboreo,0
1201,Rio Branco,AC,2015,algodao_herbaceo,0
1201,Rio Branco,AC,2015,cana,3320
1201,Rio Branco,AC,2015,milho,31624
1201,Rio Branco,AC,2015,soja,0
1201,Rio Branco,AC,2016,algodao_arboreo,0
1201,Rio Branco,AC,2016,algodao_herbaceo,0
1201,Rio Branco,AC,2016,cana,2819
1201,Rio Branco,AC,2016,milho,24639
1201,Rio Branco,AC,2016,soja,100
1201,Rio Branco,AC,2017,algodao_arboreo,0
1201,Rio Branco,AC,2017,algodao_herbaceo,0
1201,Rio Branco,AC,2017,cana,2162
1201,Rio Branco,AC,2017,milho,24600
1201,Rio Branco,AC,2017,soja,127
1201,Rio Branco,AC,2018,algodao_arboreo,0
1201,Rio Branco,AC,2018,algodao_herbaceo,0
1201,Rio Branco,AC,2018,cana,342
1201,Rio Branco,AC,2018,milho,21540
1201,Rio Branco,AC,2018,soja,480
1201,Rio Branco,AC,2019,algodao_arboreo,0
1201,Rio Branco,AC,2019,algodao_herbaceo,0
1201,Rio Branco,AC,2019,cana,333
1201,Rio Branco,AC,2019,milho,20120
1201,Rio Branco,AC,2019,soja,1660
1201,Rio Branco,AC,2020,algodao_arboreo,0
1201,Rio Branco,AC,2020,algodao_herbaceo,0
1201,Rio Branco,AC,2020,cana,315
1201,Rio Branco,AC,2020,milho,21120
1201,Rio Branco,AC,2020,soja,3280
1201,Rio Branco,AC,2021,algodao_arboreo,0
