CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado,mb_municipio,mb_state_acronym,municipality,state_acronym,MB_Floresta_ha,MB_Pastagem_ha,MB_Savana_ha,TC_Floresta,TC_Pastagem,TC_Agri,MB_Agricultura_ha,MB_Mosaico_ha
1101203,RO,2008,9724.6819,9592.2755,0.0000,0.0000,10167.9540,50473.7474,1373.5199,0.0000,0.0000,0.0000,0.0000,340.0249,0.0000,99.2823,32.6022,9.6662,43.5834,Ministro Andreazza,RO,Ministro Andreazza,RO,19939.1149,61839.0272,,19316.9575,60641.7014,1373.5199,4.4751,
1101708,RO,2008,5773.4069,6809.5619,9941.4648,0.0000,3409.5438,58428.9047,0.0000,0.0000,0.0000,0.0000,0.0000,219.6536,0.0000,244.8982,209.4353,0.0000,213.3700,Urupá,RO,Urupá,RO,13057.9047,70620.0224,,12582.9689,61838.4485,0.0000,8.7768,
1100403,RO,2008,101503.6602,39317.1466,71.4880,0.0000,14038.9379,111279.5642,0.0000,0.0000,0.0000,0.0000,0.0000,1464.4207,0.4818,335.4879,2149.2284,60.0150,500.0650,Alto Paraíso,RO,Alto Paraíso,RO,142860.9867,117613.7682,,140820.8068,125318.5021,0.0000,28.3835,
1100452,RO,2008,115535.7324,39795.9820,478.0524,0.0000,20272.5403,154406.7563,0.0000,0.0000,0.0000,0.0000,0.0000,2094.9950,0.0000,741.2191,281.7263,0.0000,160.4115,Buritis,RO,Buritis,RO,143818.0191,180430.9869,,155331.7144,174679.2966,0.0000,6.9548,
1101757,RO,2008,197955.1376,17315.8244,1147.3519,0.0000,39540.3736,60529.3602,0.0000,0.0000,0.0000,0.0000,0.0000,1221.1285,0.0000,260.7978,1981.8909,0.0000,163.7941,Vale do Anari,RO,Vale do Anari,RO,204360.8837,106909.1025,,215270.9620,100069.7338,0.0000,10.5767,
1101807,RO,2008,10381.6050,9765.0935,333.7915,0.0000,21663.7566,56249.9850,0.0000,0.0000,0.0000,0.0000,0.0000,67.2722,0.0000,0.0000,267.1216,0.0000,47.1769,Vale do Paraíso,RO,Vale do Paraíso,RO,18001.1817,78472.2516,,20146.6985,77913.7416,0.0000,0.8796,
1100502,RO,2008,10526.2273,13114.3513,472.2908,0.0000,2639.7977,59096.4074,352.0098,0.0000,0.0000,0.0000,0.0000,309.5908,0.0000,60.2258,65.2246,0.0000,16.6223,Novo Horizonte do Oeste,RO,Novo Horizonte do Oeste,RO,18859.4766,65722.9614,,23640.5785,61736.2052,352.0098,10.6000,
1101492,RO,2008,556944.5910,27456.9879,321850.7848,0.0000,37023.0250,175055.0154,0.0000,0.0000,0.0000,0.0000,0.0000,4616.8405,0.0000,583.0260,2222.3024,251.9848,1089.6757,São Francisco do Guaporé,RO,São Francisco do Guaporé,RO,896681.3516,214521.3670,,584401.5789,212078.0403,0.0000,8.6578,
1100148,RO,2008,36644.0340,22754.7673,7067.7701,0.0000,6662.8719,97688.4754,1834.2273,0.0000,0.0000,0.0000,0.0000,1418.4785,0.0000,672.6721,156.4466,0.0000,43.5633,Nova Brasilândia D'Oeste,RO,Nova Brasilândia D'Oeste,RO,52793.4685,118020.4583,,59398.8013,104351.3474,1834.2273,8.2339,
1100155,RO,2008,23082.5462,20466.6281,1618.1973,0.0000,30576.7150,124309.8603,0.0000,0.0000,0.0000,0.0000,0.0000,135.9899,0.0000,699.1715,580.4765,0.0000,184.9033,Ouro Preto do Oeste,RO,Ouro Preto do Oeste,RO,40058.6039,157923.1532,,43549.1743,154886.5753,0.0000,10.4559,
