ano,classe,area_ha,bioma
2008,1 - Culturas perenes,7547.87,Amazônia
2008,1 - Culturas perenes,351842.88,Caatinga
2008,1 - Culturas perenes,734438.89,Cerrado
2008,1 - Culturas perenes,537283.09,Mata Atlântica
2008,1 - Culturas perenes,8276.84,Pampa
2008,10 - Silvicultura,144391.4,Amazônia
2008,10 - Silvicultura,169090.7,Caatinga
2008,10 - Silvicultura,2277511.3,Cerrado
2008,10 - Silvicultura,2330933.86,Mata Atlântica
2008,10 - Silvicultura,749344.39,Pampa
2008,11 - Veg. prim. florestal,318756576.63,Amazônia
2008,11 - Veg. prim. florestal,23281143.81,Caatinga
2008,11 - Veg. prim. florestal,209049036.01,Cerrado
2008,11 - Veg. prim. florestal,17693476.15,Mata Atlântica
2008,11 - Veg. prim. florestal,14520646.22,Pampa
2008,15 - Outro,10496863.96,Amazônia
2008,15 - Outro,1720857.88,Caatinga
2008,15 - Outro,7305994.16,Cerrado
2008,15 - Outro,3198022.29,Mata Atlântica
2008,15 - Outro,992481.09,Pampa
2008,2 - Soja,80791.76,Amazônia
2008,2 - Soja,22.23,Caatinga
2008,2 - Soja,4370126.15,Cerrado
2008,2 - Soja,2758319.01,Mata Atlântica
2008,2 - Soja,4965209.1,Pampa
2008,3 - Soja + Milho 2ª safra,8116.36,Amazônia
2008,3 - Soja + Milho 2ª safra,0.0,Caatinga
2008,3 - Soja + Milho 2ª safra,7844161.93,Cerrado
2008,3 - Soja + Milho 2ª safra,2494665.54,Mata Atlântica
2008,3 - Soja + Milho 2ª safra,0.0,Pampa
2008,4 - Milho 1ª safra,434606.94,Amazônia
2008,4 - Milho 1ª safra,1530580.0,Caatinga
2008,4 - Milho 1ª safra,3447721.65,Cerrado
2008,4 - Milho 1ª safra,2828993.36,Mata Atlântica
2008,4 - Milho 1ª safra,1385998.0,Pampa
2008,5 - Cana-de-açúcar,50176.31,Amazônia
2008,5 - Cana-de-açúcar,1217331.96,Caatinga
2008,5 - Cana-de-açúcar,1376409.51,Cerrado
2008,5 - Cana-de-açúcar,5974047.24,Mata Atlântica
2008,5 - Cana-de-açúcar,62573.22,Pampa
2008,6 - Outra agropecuária,456216.52,Amazônia
2008,6 - Outra agropecuária,6211908.91,Caatinga
2008,6 - Outra agropecuária,25903981.28,Cerrado
2008,6 - Outra agropecuária,15301204.51,Mata Atlântica
2008,6 - Outra agropecuária,5802661.99,Pampa
2008,7 - Pastagem deg. média,4692599.54,Amazônia
2008,7 - Pastagem deg. média,1841453.36,Caatinga
2008,7 - Pastagem deg. média,20355509.82,Cerrado
2008,7 - Pastagem deg. média,3273761.82,Mata Atlântica
2008,7 - Pastagem deg. média,116718.84,Pampa
2008,8 - Pastagem deg. alta,347472.67,Amazônia
2008,8 - Pastagem deg. alta,998794.19,Caatinga
2008,8 - Pastagem deg. alta,12014624.53,Cerrado
2008,8 - Pastagem deg. alta,1605838.23,Mata Atlântica
2008,8 - Pastagem deg. alta,10297.45,Pampa
2008,9 - Pastagem deg. baixa,6740897.39,Amazônia
2008,9 - Pastagem deg. baixa,1195357.11,Caatinga
2008,9 - Pastagem deg. baixa,8597961.78,Cerrado
2008,9 - Pastagem deg. baixa,2046949.38,Mata Atlântica
2008,9 - Pastagem deg. baixa,69230.9,Pampa
2009,1 - Culturas perenes,7437.8,Amazônia
2009,1 - Culturas perenes,368548.42,Caatinga
2009,1 - Culturas perenes,745267.56,Cerrado
2009,1 - Culturas perenes,534263.08,Mata Atlântica
2009,1 - Culturas perenes,8098.1,Pampa
2009,10 - Silvicultura,146916.06,Amazônia
2009,10 - Silvicultura,185823.32,Caatinga
2009,10 - Silvicultura,2507177.92,Cerrado
2009,10 - Silvicultura,2519339.23,Mata Atlântica
2009,10 - Silvicultura,809055.5,Pampa
2009,11 - Veg. prim. florestal,318152248.2,Amazônia
2009,11 - Veg. prim. florestal,23217212.84,Caatinga
2009,11 - Veg. prim. florestal,208870099.65,Cerrado
2009,11 - Veg. prim. florestal,17697094.13,Mata Atlântica
2009,11 - Veg. prim. florestal,14439185.59,Pampa
2009,15 - Outro,10558164.58,Amazônia
2009,15 - Outro,1753237.72,Caatinga
2009,15 - Outro,6847902.46,Cerrado
2009,15 - Outro,3224159.3,Mata Atlântica
2009,15 - Outro,996818.26,Pampa
2009,2 - Soja,95027.01,Amazônia
2009,2 - Soja,19.17,Caatinga
2009,2 - Soja,4345460.07,Cerrado
2009,2 - Soja,2878743.71,Mata Atlântica
2009,2 - Soja,5008387.41,Pampa
2009,3 - Soja + Milho 2ª safra,14545.74,Amazônia
2009,3 - Soja + Milho 2ª safra,0.0,Caatinga
2009,3 - Soja + Milho 2ª safra,8540872.14,Cerrado
2009,3 - Soja + Milho 2ª safra,2644516.87,Mata Atlântica
2009,3 - Soja + Milho 2ª safra,0.0,Pampa
2009,4 - Milho 1ª safra,416386.85,Amazônia
2009,4 - Milho 1ª safra,1549048.0,Caatinga
2009,4 - Milho 1ª safra,3358241.81,Cerrado
2009,4 - Milho 1ª safra,2516804.04,Mata Atlântica
2009,4 - Milho 1ª safra,1385754.0,Pampa
2009,5 - Cana-de-açúcar,52722.25,Amazônia
2009,5 - Cana-de-açúcar,1235105.93,Caatinga
2009,5 - Cana-de-açúcar,1638279.22,Cerrado
2009,5 - Cana-de-açúcar,6362306.76,Mata Atlântica
2009,5 - Cana-de-açúcar,68310.68,Pampa
