periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2017,7 - Pastagem deg. média,7 - Pastagem deg. média,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,181420984.5
2008_2017,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,7 - Pastagem deg. média,7 - Pastagem deg. média,181420984.5
2008_2017,7 - Pastagem deg. média,7 - Pastagem deg. média,8 - Pastagem deg. alta,8 - Pastagem deg. alta,152916091.31
2008_2017,8 - Pastagem deg. alta,8 - Pastagem deg. alta,7 - Pastagem deg. média,7 - Pastagem deg. média,152916091.31
2008_2017,8 - Pastagem deg. alta,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,84259911.27
2008_2017,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,8 - Pastagem deg. alta,84259911.27
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,3143848.63
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,2768330.16
2008_2017,7 - Pastagem deg. média,7 - Pastagem deg. média,6 - Outra agropecuária,6 - Outra agropecuária,2554102.21
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,2053059.4
2008_2017,8 - Pastagem deg. alta,8 - Pastagem deg. alta,6 - Outra agropecuária,6 - Outra agropecuária,1772649.3
2008_2017,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,6 - Outra agropecuária,6 - Outra agropecuária,1761006.89
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,1016905.24
2008_2017,7 - Pastagem deg. média,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,872127.03
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,801093.46
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,680357.0
