rgint_id,nome,uf,bioma,pressao_ha,regeneracao_ha,balanco_ha,area_agro_2024,ranking_pressao,soja_2024_ha
2906,Barreiras,BA,Cerrado,1581958.0,0.0,-1581958.0,2468942.0,1,1960883.0
2105,Imperatriz,MA,Cerrado,1486395.74,0.0,-1486395.74,1362561.0,2,932908.0
1701,Palmas,TO,Cerrado,763123.57,0.0,-763123.57,1041928.0,3,779822.0
2206,Floriano,PI,Cerrado,721162.29,0.0,-721162.29,852316.0,4,654377.0
1703,Gurupi,TO,Cerrado,696480.48,0.0,-696480.48,373903.0,5,315502.0
5104,Barra do Garças,MT,Cerrado,639250.21,0.0,-639250.21,4228956.0,6,2769323.0
2205,Corrente - Bom Jesus,PI,Cerrado,587491.6,0.0,-587491.6,468850.0,7,397622.0
1201,Rio Branco,AC,Amazônia,572446.59,0.0,-572446.59,47203.0,8,17305.0
2104,Presidente Dutra,MA,Cerrado,538375.57,0.0,-538375.57,201242.0,9,156603.0
3102,Montes Claros,MG,Cerrado,498224.15,11809.48,-486414.67,178776.0,10,83004.0
1702,Araguaína,TO,Cerrado,497238.33,0.0,-497238.33,528073.0,11,332903.0
5101,Cuiabá,MT,Cerrado,468378.73,5851.24,-462527.49,4565370.0,12,2574083.0
2103,Caxias,MA,Cerrado,410721.97,0.0,-410721.97,144413.0,13,102604.0
2908,Juazeiro,BA,Cerrado,356643.36,4227.66,-352415.7,44344.0,14,0.0
1202,Cruzeiro do Sul,AC,Amazônia,311509.29,0.0,-311509.29,8418.0,15,273.0
5205,Porangatu - Uruaçu,GO,Cerrado,300752.14,8984.46,-291767.68,500408.0,16,278880.0
2201,Teresina,PI,Cerrado,284469.8,0.0,-284469.8,90114.0,17,22949.0
3103,Teófilo Otoni,MG,Cerrado,255422.32,0.0,-255422.32,29880.0,18,144.0
2910,Feira de Santana,BA,Cerrado,254980.75,103815.53,-151165.22,71399.0,19,890.0
5206,Luziânia - Águas Lindas de Goiás,GO,Cerrado,250857.43,0.0,-250857.43,1045673.0,20,750757.0
2306,Sobral,CE,Caatinga,242529.68,627.48,-241902.2,127571.0,21,1415.0
2909,Paulo Afonso,BA,Cerrado,240906.51,0.0,-240906.51,250691.0,22,0.0
2604,Petrolina,PE,Caatinga,236805.47,0.0,-236805.47,92228.0,23,0.0
5003,Corumbá,MS,Cerrado,236579.51,33563.19,-203016.32,435142.0,24,298047.0
2301,Fortaleza,CE,Caatinga,220728.33,69707.01,-151021.32,139013.0,25,128.0
3112,Patos de Minas,MG,Cerrado,206409.65,12994.65,-193414.99,1269912.0,26,840800.0
