ano,cultura,area_ha
2008,soja,0.0
2008,milho,1686.0
2008,cana,33206.0
2008,algodao,0.0
2009,soja,0.0
2009,milho,1461.0
2009,cana,30654.0
2009,algodao,0.0
2010,soja,0.0
2010,milho,1470.0
2010,cana,43018.0
2010,algodao,0.0
2011,soja,0.0
2011,milho,1768.0
2011,cana,52814.0
2011,algodao,0.0
2012,soja,0.0
2012,milho,1967.0
2012,cana,53887.0
2012,algodao,0.0
2013,soja,0.0
2013,milho,2469.0
2013,cana,53353.0
2013,algodao,0.0
2014,soja,0.0
2014,milho,2176.0
2014,cana,51571.0
2014,algodao,0.0
2015,soja,0.0
2015,milho,2480.0
2015,cana,51722.0
2015,algodao,0.0
2016,soja,0.0
2016,milho,2537.0
2016,cana,51952.0
2016,algodao,0.0
2017,soja,0.0
2017,milho,2308.0
2017,cana,48946.0
2017,algodao,0.0
2018,soja,0.0
2018,milho,922.0
2018,cana,46936.0
2018,algodao,0.0
2019,soja,0.0
2019,milho,952.0
2019,cana,46553.0
2019,algodao,0.0
2020,soja,0.0
2020,milho,796.0
2020,cana,46804.0
2020,algodao,0.0
2021,soja,0.0
2021,milho,916.0
2021,cana,44770.0
2021,algodao,0.0
2022,soja,0.0
2022,milho,884.0
2022,cana,48441.0
2022,algodao,0.0
2023,soja,0.0
2023,milho,906.0
2023,cana,49414.0
2023,algodao,0.0
2024,soja,0.0
2024,milho,862.0
2024,cana,46806.0
2024,algodao,0.0
