ano_par,origem_id,destino_id,area_ha
2008,1 - Culturas perenes,1 - Culturas perenes,41341.44
2008,2 - Soja,2 - Soja,427246.27
2008,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,498687.05
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,324015.35
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,393229.07
2008,6 - Outra agropecuária,6 - Outra agropecuária,1326113.56
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,875661.01
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,373465.03
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,343450.87
2008,10 - Silvicultura,10 - Silvicultura,27677.25
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,368034.71
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5333.62
2008,15 - Outro,15 - Outro,294665.04
2009,1 - Culturas perenes,1 - Culturas perenes,41341.44
2009,2 - Soja,2 - Soja,427240.46
2009,2 - Soja,12 - Veg. sec. florestal,5.81
2009,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,498680.26
2009,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,6.79
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,324015.35
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,393229.07
2009,6 - Outra agropecuária,6 - Outra agropecuária,1326113.56
2009,7 - Pastagem deg. média,2 - Soja,544.95
2009,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,636.07
2009,7 - Pastagem deg. média,5 - Cana-de-açúcar,9307.68
2009,7 - Pastagem deg. média,6 - Outra agropecuária,1750.45
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,474730.94
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,202470.37
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,186198.48
2009,7 - Pastagem deg. média,12 - Veg. sec. florestal,22.07
2009,8 - Pastagem deg. alta,2 - Soja,232.42
2009,8 - Pastagem deg. alta,3 - Soja + Milho 2ª safra,271.28
2009,8 - Pastagem deg. alta,5 - Cana-de-açúcar,3969.68
2009,8 - Pastagem deg. alta,6 - Outra agropecuária,746.56
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,202470.37
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,86352.6
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,79412.72
2009,8 - Pastagem deg. alta,12 - Veg. sec. florestal,9.41
2009,9 - Pastagem deg. baixa,2 - Soja,213.74
2009,9 - Pastagem deg. baixa,3 - Soja + Milho 2ª safra,249.48
2009,9 - Pastagem deg. baixa,5 - Cana-de-açúcar,3650.65
2009,9 - Pastagem deg. baixa,6 - Outra agropecuária,686.56
2009,9 - Pastagem deg. baixa,7 - Pastagem deg. média,186198.48
2009,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,79412.72
2009,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,73030.58
2009,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,8.66
2009,10 - Silvicultura,10 - Silvicultura,27677.25
2009,11 - Veg. prim. florestal,2 - Soja,3.97
2009,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,4.63
2009,11 - Veg. prim. florestal,5 - Cana-de-açúcar,18.9
2009,11 - Veg. prim. florestal,6 - Outra agropecuária,29.99
2009,11 - Veg. prim. florestal,7 - Pastagem deg. média,24.63
2009,11 - Veg. prim. florestal,8 - Pastagem deg. alta,10.51
2009,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,9.66
2009,11 - Veg. prim. florestal,11 - Veg. prim. florestal,367931.63
2009,11 - Veg. prim. florestal,12 - Veg. sec. florestal,0.8
2009,12 - Veg. sec. florestal,2 - Soja,0.06
2009,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,0.07
2009,12 - Veg. sec. florestal,5 - Cana-de-açúcar,0.27
2009,12 - Veg. sec. florestal,6 - Outra agropecuária,0.43
2009,12 - Veg. sec. florestal,7 - Pastagem deg. média,0.36
2009,12 - Veg. sec. florestal,8 - Pastagem deg. alta,0.15
2009,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,0.14
2009,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5332.14
2009,15 - Outro,15 - Outro,294665.04
2010,1 - Culturas perenes,1 - Culturas perenes,38368.94
2010,2 - Soja,2 - Soja,436159.75
2010,2 - Soja,12 - Veg. sec. florestal,5.42
2010,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,520404.8
2010,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,6.46
2010,4 - Milho 1ª safra,4 - Milho 1ª safra,301855.53
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,449732.6
2010,6 - Outra agropecuária,6 - Outra agropecuária,1296548.12
2010,7 - Pastagem deg. média,2 - Soja,607.18
2010,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,724.46
2010,7 - Pastagem deg. média,5 - Cana-de-açúcar,1888.13
2010,7 - Pastagem deg. média,6 - Outra agropecuária,1362.4
2010,7 - Pastagem deg. média,7 - Pastagem deg. média,463388.0
2010,7 - Pastagem deg. média,8 - Pastagem deg. alta,195881.48
2010,7 - Pastagem deg. média,9 - Pastagem deg. baixa,183827.58
2010,7 - Pastagem deg. média,12 - Veg. sec. florestal,30.82
2010,8 - Pastagem deg. alta,2 - Soja,256.66
2010,8 - Pastagem deg. alta,3 - Soja + Milho 2ª safra,306.24
2010,8 - Pastagem deg. alta,5 - Cana-de-açúcar,798.14
2010,8 - Pastagem deg. alta,6 - Outra agropecuária,575.91
2010,8 - Pastagem deg. alta,7 - Pastagem deg. média,195881.48
2010,8 - Pastagem deg. alta,8 - Pastagem deg. alta,82802.22
2010,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,77706.84
2010,8 - Pastagem deg. alta,12 - Veg. sec. florestal,13.03
2010,9 - Pastagem deg. baixa,2 - Soja,240.87
2010,9 - Pastagem deg. baixa,3 - Soja + Milho 2ª safra,287.39
