periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,Pastagem,Pastagem,7965238.19
2008_2017,Pastagem,Pastagem,6 - Outra agropecuária,6 - Outra agropecuária,6087758.4
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,Pastagem,Pastagem,2132228.75
2008_2017,Pastagem,Pastagem,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2043203.05
2008_2017,Pastagem,Pastagem,5 - Cana-de-açúcar,5 - Cana-de-açúcar,1351676.97
2008_2017,Pastagem,Pastagem,2 - Soja,2 - Soja,854424.71
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,801093.46
2008_2017,2 - Soja,2 - Soja,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,575038.73
2008_2017,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2 - Soja,2 - Soja,575038.73
2008_2017,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,Pastagem,Pastagem,416806.3
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,2 - Soja,2 - Soja,290190.07
2008_2017,12 - Veg. sec. florestal,12 - Veg. sec. florestal,Pastagem,Pastagem,154981.87
2008_2017,Pastagem,Pastagem,12 - Veg. sec. florestal,12 - Veg. sec. florestal,127183.31
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,100890.28
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,6 - Outra agropecuária,6 - Outra agropecuária,94137.15
2008_2017,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,42845.6
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,2 - Soja,2 - Soja,35247.67
