rgint_id,nome,uf,bioma,pressao_ha,regeneracao_ha,balanco_ha,area_agro_2024,ranking_pressao,soja_2024_ha
5103,Sinop,MT,Cerrado,1878724.98,0.0,-1878724.98,4937534.37,1,4097941.56
2906,Barreiras,BA,Cerrado,1637111.34,0.0,-1637111.34,3700288.7,2,1768174.11
1101,Porto Velho,RO,Amazônia,1625686.83,0.0,-1625686.83,92719.84,3,75106.71
2105,Imperatriz,MA,Cerrado,1590332.67,0.0,-1590332.67,1844657.94,4,868030.02
1303,Lábrea,AM,Amazônia,1415691.81,0.0,-1415691.81,5168.58,5,34.74
1505,Santarém,PA,Amazônia,1389119.49,0.0,-1389119.49,193290.55,6,113448.78
1503,Marabá,PA,Amazônia,1353184.29,0.0,-1353184.29,122829.7,7,61313.4
1506,Altamira,PA,Amazônia,1274192.28,0.0,-1274192.28,34989.36,8,12501.81
1504,Redenção,PA,Amazônia,1058768.28,0.0,-1058768.28,267778.24,9,160010.73
1701,Palmas,TO,Cerrado,831587.13,0.0,-831587.13,1043886.14,10,544802.94
1703,Gurupi,TO,Cerrado,748048.59,0.0,-748048.59,554824.72,11,260049.42
2206,Floriano,PI,Cerrado,735953.49,0.0,-735953.49,1171603.18,12,581778.27
5104,Barra do Garças,MT,Cerrado,704326.14,0.0,-704326.14,3014369.6,13,2238048.36
1201,Rio Branco,AC,Amazônia,606018.33,0.0,-606018.33,32331.29,14,0.0
2205,Corrente - Bom Jesus,PI,Cerrado,603936.0,0.0,-603936.0,754274.51,15,363323.25
2102,Santa Inês - Bacabal,MA,Cerrado,564691.77,2757.42,-561934.35,132316.77,16,19931.76
1702,Araguaína,TO,Cerrado,556132.5,0.0,-556132.5,622619.28,17,252307.8
2101,São Luís,MA,Cerrado,555846.39,0.0,-555846.39,226993.07,18,90024.03
3102,Montes Claros,MG,Cerrado,555184.35,11219.58,-543964.77,898573.5,19,51269.13
2104,Presidente Dutra,MA,Cerrado,549100.17,0.0,-549100.17,321137.39,20,78415.38
5101,Cuiabá,MT,Cerrado,521387.01,5634.36,-515752.65,3197718.31,21,2470318.47
1502,Castanhal,PA,Amazônia,494071.47,25146.54,-468924.93,418061.43,22,287016.21
1102,Ji-Paraná,RO,Amazônia,483271.11,53.82,-483217.29,309001.09,23,255132.0
2103,Caxias,MA,Cerrado,417830.04,0.0,-417830.04,303878.7,24,21936.96
2908,Juazeiro,BA,Cerrado,363119.67,4227.66,-358892.01,1386708.0,25,0.0
5205,Porangatu - Uruaçu,GO,Cerrado,323159.67,9254.88,-313904.79,800476.44,26,238176.81
1202,Cruzeiro do Sul,AC,Amazônia,322565.94,0.0,-322565.94,6152.3,27,0.0
1501,Belém,PA,Amazônia,301611.42,3712.86,-297898.56,46543.16,28,18734.49
2201,Teresina,PI,Cerrado,301595.22,0.0,-301595.22,233200.86,29,4768.74
2910,Feira de Santana,BA,Cerrado,295736.67,103807.62,-191929.05,692791.87,30,0.0
5206,Luziânia - Águas Lindas de Goiás,GO,Cerrado,276077.34,0.0,-276077.34,1262204.21,31,681109.83
3103,Teófilo Otoni,MG,Cerrado,274365.18,0.0,-274365.18,735087.3,32,47.97
5003,Corumbá,MS,Cerrado,259872.21,33502.77,-226369.44,582264.47,33,172589.94
2909,Paulo Afonso,BA,Cerrado,256730.85,0.0,-256730.85,813971.87,34,0.0
5102,Cáceres,MT,Cerrado,256521.15,5766.48,-250754.67,615693.58,35,417655.8
2306,Sobral,CE,Caatinga,252748.62,633.06,-252115.56,313947.8,36,32.49
2604,Petrolina,PE,Caatinga,249905.43,0.0,-249905.43,595330.19,37,0.0
1402,Rorainópolis - Caracaraí,RR,Amazônia,234142.38,2198.97,-231943.41,3361.16,38,716.4
3112,Patos de Minas,MG,Cerrado,230177.16,12473.73,-217703.43,2303225.18,39,926506.44
2301,Fortaleza,CE,Caatinga,227932.65,69399.9,-158532.75,386583.76,40,0.0
2904,Vitória da Conquista,BA,Cerrado,220552.29,775.35,-219776.94,618953.02,41,0.0
1507,Breves,PA,Amazônia,212130.81,326.25,-211804.56,3116.47,42,513.72
2905,Guanambi,BA,Cerrado,201035.16,0.0,-201035.16,258727.09,43,2547.63
5105,Rondonópolis,MT,Cerrado,189095.22,6726.6,-182368.62,2195877.45,44,1622701.62
2303,Iguatu,CE,Caatinga,183678.84,253.35,-183425.49,93316.61,45,0.0
2302,Quixadá,CE,Caatinga,183078.45,10951.47,-172126.98,567729.22,46,0.0
5001,Campo Grande,MS,Cerrado,174766.23,30119.49,-144646.74,2981804.46,47,1169761.59
2304,Juazeiro do Norte,CE,Caatinga,169946.46,0.0,-169946.46,138248.99,48,0.0
2403,Mossoró,RN,Caatinga,162947.61,13935.51,-149012.1,544614.38,49,0.0
1301,Manaus,AM,Amazônia,158022.27,5789.61,-152232.66,5947.15,50,0.0
2602,Caruaru,PE,Caatinga,146947.5,0.0,-146947.5,174532.81,51,0.0
2202,Parnaíba,PI,Cerrado,143104.32,0.0,-143104.32,103330.64,52,3470.22
1401,Boa Vista,RR,Amazônia,141787.98,0.0,-141787.98,112629.31,53,75567.78
5201,Goiânia,GO,Cerrado,139503.87,4923.0,-134580.87,1749023.89,54,829093.77
2502,Campina Grande,PB,Caatinga,121100.94,29963.43,-91137.51,199750.51,55,0.0
2907,Irecê,BA,Cerrado,106594.92,6023.43,-100571.49,1226205.45,56,33.57
2503,Patos,PB,Caatinga,95006.61,583.29,-94423.32,173952.35,57,0.0
1302,Tefé,AM,Amazônia,90688.14,0.0,-90688.14,802.0,58,0.0
2203,Picos,PI,Cerrado,90030.78,32634.99,-57395.79,468360.2,59,1653.39
2305,Crateús,CE,Caatinga,88642.53,36406.44,-52236.09,181150.88,60,0.0
1304,Parintins,AM,Amazônia,78848.19,8561.07,-70287.12,472.97,61,0.0
2204,São Raimundo Nonato,PI,Cerrado,78208.56,16957.98,-61250.58,200776.74,62,500.31
2901,Salvador,BA,Cerrado,75676.5,3514.41,-72162.09,312373.31,63,0.0
4301,Porto Alegre,RS,Pampa,74192.85,4737.96,-69454.89,909903.31,64,118420.29
2802,Itabaiana,SE,Caatinga,70858.89,488.79,-70370.1,163708.74,65,0.0
2504,Sousa - Cajazeiras,PB,Caatinga,69317.01,0.0,-69317.01,41891.73,66,0.0
2903,Ilhéus – Itabuna,BA,Cerrado,67864.32,4092.66,-63771.66,601485.35,67,0.0
2902,Santo Antônio de Jesus,BA,Cerrado,65890.08,8412.03,-57478.05,285517.33,68,0.0
2401,Natal,RN,Caatinga,60716.79,32618.88,-28097.91,720677.99,69,0.0
2603,Serra Talhada,PE,Caatinga,55325.7,12842.91,-42482.79,142914.34,70,0.0
4101,Curitiba,PR,Mata Atlântica,54785.34,1517.04,-53268.3,735197.43,71,314939.25
4302,Pelotas,RS,Pampa,49078.62,95681.43,46602.81,1702181.13,72,587082.06
2702,Arapiraca,AL,Caatinga,46705.41,9735.57,-36969.84,125859.0,73,0.0
5203,Rio Verde,GO,Cerrado,41273.46,17202.42,-24071.04,3060188.94,74,1643204.25
4206,Joinville,SC,Mata Atlântica,41081.31,1399.77,-39681.54,511354.44,75,189934.83
4307,Caxias do Sul,RS,Pampa,40261.68,33.39,-40228.29,720150.84,76,369037.53
4308,Santa Cruz do Sul - Lajeado,RS,Pampa,35668.53,31319.91,-4348.62,821326.71,77,304442.64
3101,Belo Horizonte,MG,Cerrado,35626.41,48137.04,12510.63,592616.74,78,3465.81
