ano,cultura,area_ha
2008,soja,20027.0
2008,milho,80688.0
2008,cana,599050.0
2008,algodao,3989.0
2009,soja,15780.0
2009,milho,67856.0
2009,cana,725449.0
2009,algodao,393.0
2010,soja,13045.0
2010,milho,66593.0
2010,cana,774947.0
2010,algodao,117.0
2011,soja,14342.0
2011,milho,58247.0
2011,cana,744731.0
2011,algodao,1262.0
2012,soja,14248.0
2012,milho,56068.0
2012,cana,797714.0
2012,algodao,1799.0
2013,soja,18397.0
2013,milho,58879.0
2013,cana,855856.0
2013,algodao,603.0
2014,soja,16323.0
2014,milho,54847.0
2014,cana,899956.0
2014,algodao,435.0
2015,soja,18688.0
2015,milho,51105.0
2015,cana,898324.0
2015,algodao,36.0
2016,soja,24262.0
2016,milho,45663.0
2016,cana,930238.0
2016,algodao,500.0
2017,soja,28232.0
2017,milho,46444.0
2017,cana,956428.0
2017,algodao,179.0
2018,soja,30738.0
2018,milho,42245.0
2018,cana,914276.0
2018,algodao,458.0
2019,soja,41693.0
2019,milho,31810.0
2019,cana,936373.0
2019,algodao,3636.0
2020,soja,44865.0
2020,milho,28218.0
2020,cana,893745.0
2020,algodao,3079.0
2021,soja,54131.0
2021,milho,35936.0
2021,cana,892855.0
2021,algodao,1858.0
2022,soja,57529.0
2022,milho,30778.0
2022,cana,886936.0
2022,algodao,3061.0
2023,soja,64483.0
2023,milho,28705.0
2023,cana,903185.0
2023,algodao,2950.0
2024,soja,66282.0
2024,milho,23040.0
2024,cana,929653.0
2024,algodao,1514.0
